用例名称,优先级,前置条件,步骤描述,预期结果
关联计划或计划组-显示该功能：有「项目计划」组件，仅有编辑项目计划权限，没有查看项目计划权限,P1,"1.项目组件中包含组件：「项目计划」
2.有「编辑项目计划权限」，没有「查看项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」显示该功能:关联计划或计划组
关联计划或计划组-关联弹窗：搜索框,P1,"1.用户A可以查看快捷入口「关联计划或计划组」
2.「项目计划」层级：
计划A
计划B
计划组C
      - 计划组C1
            - 计划C1-1
      - 计划C2
计划组D
      - 里程碑D1
      - 里程碑D2
3.打开新建迭代弹窗：「迭代A」
4.打开迭代A的关联计划弹窗","#1.打开搜索框
2.搜索关键字计划C1-1","#1.层级显示：
计划组C
      - 计划组C1
            - 计划C1-1"
关联计划或计划组-关联弹窗：层级显示（空状态）,P1,"1.用户A可以查看快捷入口「关联计划或计划组」
2.「项目计划」为空
3.打开新建迭代弹窗：「迭代A」","#点击快捷方式「关联计划或计划组」
#点击超链接「项目计划」","#1.「选择计划或计划组」必填标识
2.层级显示与「项目计划」一致为空，空状态文案：当前项目暂无项目计划，请先指定项目计划
#1.跳转至项目组件：项目计划
2.打开新的标签页"
关联计划或计划组-不显示该功能：有「项目计划」组件，仅有查看项目计划权限,P1,"1.项目组件中包含组件：「项目计划」
2.仅有「查看项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」不显示该功能:关联计划或计划组
关联计划或计划组-显示该功能：有「项目计划」组件，仅有编辑项目计划权限,P1,"1.项目组件中包含组件：「项目计划」
2.仅有「编辑项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」显示该功能:关联计划或计划组
关联计划或计划组-关联列表：删除操作,P1,"1.用户A可以查看快捷入口「关联计划或计划组」
2.「项目计划」层级：
计划A
计划B
计划组C
      - 计划C1
      - 计划C2
计划组D
      - 里程碑D1
      - 里程碑D2
3.打开新建迭代弹窗：「迭代A」，迭代A已经选择计划组「计划组B」","#点击「计划B」的删除弹窗
#点击迭代的按钮：确定","#不会出现二次弹窗，直接删除「计划B」
#1.新建迭代「迭代A」成功
2.「迭代A」不会关联「计划B」"
关联计划或计划组-关联弹窗：切换计划选择,P0,"1.用户A可以查看快捷入口「关联计划或计划组」
2.「项目计划」层级：
计划A
计划B
计划组C
      - 计划C1
      - 计划C2
计划组D
      - 里程碑D1
      - 里程碑D2
3.打开新建迭代弹窗：「迭代A」，迭代A已经选择计划组「计划组D」","#点击快捷方式「关联计划或计划组」
#1.选择：计划C1
2.点击按钮：确定
#点击迭代的按钮：确定","#1.「选择计划或计划组」必填标识
2.层级显示与「项目计划」一致
3.默认选中「计划组D」
#1.「关联计划或计划组」关联列表只显示关联的「计划C1」
2.没有取消按钮
#1.新建迭代「迭代A」成功
2.「计划C1」关联成功，动态：新增关联迭代「迭代A」成功"
关联计划或计划组-不显示该功能：没有「项目计划」组件，有查看项目计划权限,P1,"1.项目组件中不包含组件：「项目计划」
2.仅有「查看项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」不显示该功能:关联计划或计划组
关联计划或计划组-关联弹窗：层级显示,P0,"1.用户A可以查看快捷入口「关联计划或计划组」
2.「项目计划」层级：
计划A
计划B
计划组C
      - 计划C1
      - 计划C2
计划组D
      - 里程碑D1
      - 里程碑D2
3.打开新建迭代弹窗：「迭代A」","#点击快捷方式「关联计划或计划组」
#1.选择：计划B
2.点击按钮：确定
#点击迭代的按钮：确定","#1.「选择计划或计划组」必填标识
2.层级显示与「项目计划」一致
#「关联计划或计划组」关联列表显示关联的「计划B」
#1.新建迭代「迭代A」成功
2.「计划B」关联成功，动态：新增关联迭代「迭代A」成功"
关联计划或计划组-显示该功能：有「项目计划」组件，仅有管理项目计划权限,P0,"1.项目组件中包含组件：「项目计划」
2.仅有「管理项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」显示该功能:关联计划或计划组
关联计划或计划组-显示该功能：有「项目计划」组件，有编辑项目计划权限，有管理项目计划权限,P1,"1.项目组件中包含组件：「项目计划」
2.有「编辑项目计划权限」「管理项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」显示该功能:关联计划或计划组
关联计划或计划组-不显示该功能：没有「项目计划」组件，有编辑项目计划权限,P0,"1.项目组件中不包含组件：「项目计划」
2.仅有「编辑项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」不显示该功能:关联计划或计划组
关联计划或计划组-不显示该功能：没有「项目计划」组件，有管理项目计划权限,P1,"1.项目组件中不包含组件：「项目计划」
2.仅有「管理项目计划权限」
3.打开新建迭代弹窗：「迭代A」",#点击新建迭代按钮，打开新建迭代弹窗,#「关联内容」不显示该功能:关联计划或计划组
迭代-规划：切换工作日设置，迭代规划预估工时统计检查,P2,"1.项目1下有迭代1
2.迭代1下已规划需求工作项1，预估工时为5小时（工时默认单位为：小时）","#1.切换工时默认单位为：天
2.查看迭代1-规划-预估工时",#预估工时转换成天计算
项目-迭代-规划迭代：筛选支持多选项目属性,P3,"工作类型：任务
属性：多选项目
属性值：项目1、项目2","#设置筛选条件「多选项目」
#设置筛选条件属性值包含：项目1、项目2","#显示属性值：空、项目1、项目2
#筛选显示属性值包含项目1、项目2的工作项"
快速迭代-未规划工作项-工作项详情：移动,P3,迭代-快速规划迭代-未规划工作项：存在工作项a,"#进入迭代-快速规划迭代-未规划工作项页面
#点击工作项a
#点击工作项-更多-移动按钮","#展示：工作项a
#弹窗打开工作项a
#打开批量移动工作项页面"
快速迭代-所有工作项-工作项详情：移动,P3,迭代-快速规划迭代-所有工作项：存在工作项a,"#进入迭代-快速规划迭代-所有工作项页面
#点击工作项a
#点击工作项-更多-移动按钮","#展示：工作项a
#弹窗打开工作项a
#打开批量移动工作项页面"
迭代信息-迭代周期：项目计划中修改迭代周期，检查迭代概览中的周期变化,P2,"1、存在迭代负责人A
2、存在项目计划关联了迭代1（迭代周期：2023/01/01～2023/01/05）
3、进入项目计划","#1、修改迭代1的迭代计划开始周期：2023/01/02
2、切换至迭代1概览页面查看迭代周期
#1、进入项目计划修改迭代1的迭代计划完成周期：2023/01/10
2、切换至迭代1概览页面查看迭代周期","#显示：2023/01/02～2023/01/05
#显示：2023/01/02～2023/01/10"
迭代进度：tooltips文案检查,P3,"1.项目1下已存在迭代1
2.已存在迭代组件，迭代计划组件","#进入迭代组件-迭代1-迭代概览，鼠标移动到迭代进度tooltips
#进入迭代计划组件，鼠标移动到迭代1后的迭代进度tooltips","#文案：
迭代进度计算公式：SUM(父工作项周期时长*进度)/SUM(父工作项周期时长)
迭代阶段变更为“已完成”时，迭代进度会同步变更为100%
#文案：
迭代进度计算公式：SUM(父工作项周期时长*进度)/SUM(父工作项周期时长)
迭代阶段变更为“已完成”时，迭代进度会同步变更为100%"
敏捷看板-燃尽图-英文版：英文版无管理员权限时，燃尽图配置入口检查,P2,"无管理员权限
切换英文版","#查看迭代概览燃尽图
#查看敏捷看板燃尽图","#无燃尽图配置按钮
#无燃尽图配置按钮"
迭代概览-燃尽图-燃尽图配置：修改项目的工作项类型，检查对燃尽图配置-工作项类型选项列表的影响,P2,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置","#增加工作项类型「测试工作项」「测试任务」，检查工作项类型列表
#删除工作项类型「测试任务」","#列表增加「测试工作项」「测试任务」
#列表无「测试任务」选项"
迭代概览-燃尽图：页面国际化语言测试,P1,系统所有页面语言同步,"#1、选择中文语言登录
2、切换语言为英文
3、语言再切回中文
#1、选择英文语言登录
2、切换语言为中文
3、切换语言回英文","#1、登录后燃尽图配置界面呈现中文
2、界面显示英文
3、界面显示中文
#1、登录后燃尽图配置界面呈现英文
2、界面显示中文
3、界面显示英文"
迭代概览-燃尽图：燃尽图配置工作项类型更新后，对迭代中其他成员的燃尽图影响,P2,"1、存在敏捷项目A，项目下有迭代1，燃尽图配置为指定工作项类型「需求」「子需求」「任务」
2、成员A有三种工作项查看权限
3、成员B无需求查看权限
4、成员A,B均在迭代1下，且仪表盘添加迭代1的迭代概览卡片","#成员A查看迭代概览燃尽图
#成员A查看敏捷看板燃尽图
#成员A查看仪表盘燃尽图
#成员B查看迭代概览燃尽图
#成员B查看敏捷看板燃尽图
#成员B查看仪表盘燃尽图","#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致
#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致
#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致
#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致
#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致
#工作项燃尽，剩余工时燃尽与管理员配置的工作项类型保持一致"
迭代概览-燃尽图：燃尽图配置指定工作项部分失效后，对迭代中其他成员的燃尽图图例的影响,P3,"1、存在敏捷项目A，项目下有迭代1，燃尽图配置为指定工作项类型「需求」「子需求」「任务」
2、项目管理员A删除迭代中的「子需求」，并删除该工作项
3、成员B只有项目查看权限，","#成员B查看迭代概览燃尽图图例
#检查燃尽图数据","#1、图例显示：「需求」「任务」的数量
2、未提示有失效的工作项
#工作项燃尽和剩余工时燃尽，已过滤所有子需求工作项"
迭代概览-燃尽图-燃尽图配置：检查原始数据工作项类型默认情况,P1,"1、存在敏捷项目A，项目下有迭代1、
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入敏捷项目A-迭代1-燃尽图配置","#检查工作项类型
#查看迭代概览-工作项燃尽
#查看迭代概览-剩余工时燃尽","#默认为全部工作项类型
#展示所有工作项的燃尽信息
#展示所有工作项的剩余工时燃尽信息"
迭代概览-燃尽图-燃尽图配置：原始数据更新工作项类型功能测试,P1,"1、存在敏捷项目A，项目下有迭代1、
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入敏捷项目A-迭代1-燃尽图配置","#检查工作项类型
#选择指定工作项「任务」「子任务」，点击更新
#查看迭代概览-工作项燃尽
#查看迭代概览-剩余工时燃尽
#查看仪表盘-迭代概览卡片
#查看敏捷看板-燃尽图","#默认为全部工作项类型
#toast提示：更新成功
#图例展示任务、子任务的数量
hover当前数据点，展示需求的燃尽信息
#图例展示任务、子任务的剩余工时
hover当前数据点，展示需求的剩余工时燃尽信息
#图例与迭代概览保持一致，为任务、子任务的数量
数据为任务、子任务的数据燃尽情况
#图例与迭代概览保持一致，为任务、子任务的数量
数据为任务、子任务的数据燃尽情况"
迭代概览-燃尽图-剩余工时燃尽：指定工作项时，修改指定和非指定工作项的预估工时和登记工时对剩余工时燃尽图的影响,P2,1、存在敏捷项目A，项目下有迭代1，燃尽图配置为指定工作项「需求」,"#成员A修改需求的预估工时+6H,登记工时+2H，查看剩余工时燃尽图，hover数据值
#成员A修改「任务」的预估时间+3H,登记工时+1H，查看工时燃尽图，hover数据值","#剩余工时+4H
#剩余工时未发生改变"
迭代概览-燃尽图-工作项燃尽：指定工作项时，修改指定和非指定工作项的已完成状态数量对工作项燃尽图的影响,P2,1、存在敏捷项目A，项目下有迭代1，燃尽图配置为指定工作项「需求」,"#成员A修改部分需求的状态，将已完成的状态数量+2，查看工作项燃尽，hover数据值
#成员A修改部分任务的状态，将已完成的状态数量+2，查看工作项燃尽，hover数据值","#工作项数量-2
#工作项数量未发生改变"
迭代概览-燃尽图：燃尽图配置工作项类型更新后，对同项目内其他迭代组件的影响,P2,"1、存在敏捷项目A，项目下有迭代1，迭代2，且燃尽图配置都为全部工作项类型
2、更新迭代1的燃尽图配置，工作项类型为指定工作项「需求」","#查看迭代1迭代概览燃尽图
#查看迭代2迭代概览燃尽图","#工作项燃尽，剩余工时燃尽图例为需求的数量
#工作项燃尽，剩余工时燃尽图例为工作项数量（包含所有工作项）"
迭代概览-燃尽图：燃尽图配置工作项类型更新后，对不同项目的迭代组件的影响,P2,"1、存在敏捷项目A，项目下有迭代1，且燃尽图配置都为全部工作项类型
2、存在敏捷项目B，项目下有迭代2，且燃尽图配置都为全部工作项类型
3、更新迭代1的燃尽图配置，工作项类型为指定工作项「需求」","#查看敏捷项目A-迭代1-迭代概览-燃尽图
#查看敏捷项目B-迭代2-迭代概览-燃尽图","#工作项燃尽，剩余工时燃尽图例为需求的数量
#工作项燃尽，剩余工时燃尽图例为工作项数量（包含所有工作项）"
迭代概览-燃尽图：移动端燃尽图兼容性测试,P1,"1、存在敏捷项目A，项目下有迭代1，指定工作项类型「需求」「子需求」
2、进入移动端页面查看该项目迭代概览，操作台迭代概览卡片",#仪表盘迭代概览卡片,#燃尽图展示正确，无图例，只有工作项燃尽图
敏捷看板-燃尽图：更新工作项类型为指定工作项类型「任务」，检查敏捷看板燃尽图,P1,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置，选择工作项配置为指定工作项「任务」，点击更新，提示更新成功","#1、查看敏捷看板-工作项燃尽的图例
2、查看工作项燃尽图数据
3、对比迭代概览工作项燃尽图
#1、查看敏捷看板-剩余工时燃尽的图例
2、查看剩余工时燃尽图数据
3、对比迭代概览剩余工时燃尽","#1、图例展示「任务」的数量
2、工作项燃尽展示迭代内所有任务的燃尽数据
3、与迭代概览保持一致
#1、图例展示「任务」的数量
2、剩余工时燃尽展示迭代内所有任务的燃尽数据
3、与迭代概览保持一致"
我的操作台-仪表盘-迭代概览卡片-燃尽图：更新工作项类型为指定工作项类型「任务」，检查仪表盘卡片燃尽图,P1,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置，选择工作项配置为指定工作项「任务」，点击更新，提示更新成功
4、成员在我的操作台-仪表盘-配置了当前迭代的迭代概览卡片","#1、查看仪表盘卡片-工作项燃尽的图例
2、查看工作项燃尽图数据
3、对比迭代概览工作项燃尽图
#修改「任务」已完成数量+1，返回卡片燃尽图，点击刷新","#1、图例展示「任务」的数量
2、工作项燃尽展示迭代内所有任务（不含子工作项）的燃尽数据
3、与迭代概览保持一致
#燃尽图数据发生变化，未完成数量-1"
迭代概览-燃尽图：修改X轴对燃尽图的影响,P2,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置，选择工作项配置为指定工作项「任务」，点击更新，提示更新成功
4、编辑迭代X轴的时间，由2022/4/1-2022/4/15改为2022/3/25-2022/4/20，查看迭代概览燃尽图","#1、查看工作项燃尽图
#1、查看剩余工时燃尽图","#1、X轴的区间变为2022/3/25-2022/4/20
2、工作项燃尽Y轴的燃尽数据与对应日期的数据保持同步
#1、X轴的区间变为2022/3/25-2022/4/20
2、剩余工时燃尽Y轴的燃尽数据与对应日期的数据保持同步"
迭代概览-燃尽图：浏览器兼容性测试,P4,"1、存在敏捷项目A，项目下有迭代1，指定工作项类型「需求」「子需求」
2、进入不同浏览器版本查看该项目迭代概览，操作台迭代概览卡片","#登录Chrome（69+）浏览器检查登录Chrome（100+）浏览器检查
#登录Safari （12+）浏览器检查
登录Safari （15+）浏览器检查
#登录Edge（79+）浏览器检查
登录Edge（100+）浏览器检查
#登录Firefox （67+）浏览器检查
登录Firefox （99+）浏览器检查","#燃尽图配置兼容
燃尽图兼容
#燃尽图配置兼容
燃尽图兼容
#燃尽图配置兼容
燃尽图兼容
#燃尽图配置兼容
燃尽图兼容"
迭代概览-燃尽图-燃尽图配置：复制项目，检查迭代的燃尽图配置是否会被复制,P2,"1、存在敏捷项目A，项目下有迭代1、迭代1配置为指定项目类型「需求」「任务」
2、复制项目A为项目B","#检查项目B的燃尽图配置工作项类型
#查看项目B迭代概览-工作项燃尽
#查看项目B迭代概览-剩余工时燃尽","#1、指定项目类型「需求」「任务」
#展示需求及任务的工作项的燃尽信息
#展示需求及任务的剩余工时燃尽信息"
迭代概览-燃尽图：更新工作项类型为指定工作项类型「任务」，检查燃尽图数据取值逻辑,P0,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置，选择工作项配置为指定工作项「任务」，点击更新，提示更新成功","#1、查看迭代概览-工作项燃尽的图例及数据
2、查看迭代概览-剩余工时燃尽的图例及数据
#1、查看我的工作台-仪表盘-迭代概览卡片-工作项燃尽的图例及数据
#1、查看敏捷看板-工作项燃尽的图例及数据
2、查看敏捷看板-剩余工时燃尽的图例及数据
#修改一个任务的状态，进行中改为已完成，hover工作项燃尽数据
#修改一个任务的登记工时+1H,hover剩余工时燃尽数据","#1、图例展示「任务」的数量
    工作项燃尽展示迭代内所有任务（不含子工作项）的燃尽数据
2、图例展示「任务」的数量
   剩余工时燃尽展示迭代内所有任务（不含子工作项）的燃尽数据
#1、图例展示「任务」的数量
工作项燃尽展示迭代内所有任务（不含子工作项）的燃尽数据
#1、图例展示「任务」的数量
    工作项燃尽展示迭代内所有任务（ 不含子工作项）的燃尽数据
2、图例展示「任务」的数量
   剩余工时燃尽展示迭代内所有任务（不含子工作项）的燃尽数据
#数据-1
#剩余工时-1"
迭代概览-燃尽图：更新工作项类型为指定工作项类型「任务」「子需求」，检查燃尽图数据取值逻辑,P0,"1、存在敏捷项目A，项目下有迭代1，在迭代1中创建任务1，任务2，任务1下分别创建子任务1，子需求1，在迭代1中创建需求1，需求1分别创建子任务2，子需求2；且状态全部为进行中
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置，选择指定工作项「任务」「子需求」，点击更新按钮，提示更新成功","#查看迭代概览工作项燃尽和剩余工时燃尽图
#查看仪表盘的燃尽图，工作项燃尽
#查看敏捷看板燃尽图，工作项燃尽和剩余工时燃尽图
#修改子需求1的状态，将「进行中」改成「已完成」，查看工作项燃尽图变化，hover工作项数据
#修改子需求1的登记工时+2H，查看剩余工时燃尽图变化，hover当日剩余工时数据","#工作项燃尽/剩余工时燃尽
只展示迭代内任务+任务下的子需求（不包含子任务1，子需求2的燃尽数据）
#工作项燃尽
只展示迭代内任务+任务下的子需求（不包含子任务1，子需求2的燃尽数据）
#工作项燃尽/剩余工时燃尽
只展示迭代内任务+任务下的子需求（不包含子任务1，子需求2的燃尽数据）
#未完成的数量-1
#剩余工时燃尽，时间-2H"
迭代概览-燃尽图：更新工作项类型为全部工作项类型，检查燃尽图数据取值逻辑,P0,"1、存在敏捷项目A，项目下有迭代1，在迭代1中创建任务1，任务1下分别创建子任务1，子需求1，在迭代1中带你需求1，需求1分别创建子任务2，子需求2；
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置，选择全部工作项类型，点击更新，提示更新成功","#查看迭代概览工作项燃尽和剩余工时燃尽图图例和数据
#查看仪表盘燃尽图图例和数据
#查看敏捷看板燃尽图图例和数据
#修改任意工作项的已完成状态的数量
#修改工作项预估工时或登记工时","#1、图例显示：工作项数量
2、工作项燃尽，剩余工时燃尽展示迭代内所有工作项的数据燃尽情况
#1、图例显示：工作项数量
2、工作项燃尽展示迭代内所有工作项的数据燃尽情况
#1、图例显示：工作项数量
2、工作项燃尽和迭代燃尽展示迭代内所有工作项的数据燃尽情况
#工作项燃尽图发生对应变化
#剩余工时燃尽图发生对应变化"
迭代概览-燃尽图：燃尽图空态,P1,"1、存在敏捷项目A，项目下有迭代1，且无「缺陷」类型的工作项
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置","#选择指定工作项「缺陷」，点击更新按钮，
#查看迭代概览工作项燃尽
#查看剩余工时燃尽图","#更新提示更新成功；
#页面按钮：工作项燃尽、剩余工时燃尽、刷新、燃尽图配置
图例：无
文案：暂无数据
#页面按钮：工作项燃尽、剩余工时燃尽、刷新、燃尽图配置
图例：无
文案：暂无数据"
迭代概览-燃尽图-工作项燃尽：指定工作项超过极值对工作项燃尽图例的影响,P2,"1、存在敏捷项目A，项目下有迭代1，
4、成员A进入迭代1的燃尽图配置","#选择指定工作项「缺陷」，点击更新按钮，查看迭代概览-工作项燃尽图-图例
#选择指定工作项「缺陷」「工单」「需求」「子需求」「任务」「子任务」「前端任务」「测试任务」「后端任务」，点击更新按钮，查看迭代概览-工作项燃尽图-图例
#hover图例
#检查图例展示所有工作项类型名称的列表排序","#1、燃尽图图例显示：缺陷的数量
2、「缺陷的数量」+「基线」   始终垂直居中燃尽图
#1、燃尽图图例显示：缺陷、工单、需求、子需求...的数量
2、「缺陷、工单、需求、子需求...的数量」宽度+「基线」 宽度=燃尽图宽度
#展示所有工作项的数量（缺陷、工单、需求、子需求、任务、子任务、前端任务、测试任务、后端任务的数量）
#与燃尽图配置列表的选择顺序保持一致"
迭代概览-燃尽图-剩余工时燃尽：指定工作项超过极值对工作项燃尽图例的影响,P2,"1、存在敏捷项目A，项目下有迭代1，
4、成员A进入迭代1的燃尽图配置","#选择指定工作项「缺陷」，点击更新按钮，查看迭代概览-剩余工时燃尽图-图例
#选择指定工作项「缺陷」「工单」「需求」「子需求」「任务」「子任务」「前端任务」「测试任务」「后端任务」，点击更新按钮，查看查看迭代概览-剩余工时燃尽图-图例
#hover图例","#1、燃尽图图例显示：缺陷的数量
2、「缺陷的数量」+「基线」   始终垂直居中燃尽图
#1、燃尽图图例显示：缺陷、工单、需求、子需求...的数量
2、「缺陷、工单、需求、子需求...的数量」宽度+「基线」 宽度=燃尽图宽度
#展示所有工作项的数量（缺陷、工单、需求、子需求、任务、子任务、前端任务、测试任务、后端任务的数量）"
迭代概览-燃尽图：更新工作项类型为指定工作项类型「子任务」，检查燃尽图数据取值逻辑,P0,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置，选择工作项配置为指定工作项「子任务」，点击更新，提示更新成功","#1、查看迭代概览-工作项燃尽的图例及数据
2、查看迭代概览-剩余工时燃尽的图例及数据
#1、查看我的工作台-仪表盘-迭代概览卡片-工作项燃尽的图例及数据
#1、查看敏捷看板-工作项燃尽的图例及数据
2、查看敏捷看板-剩余工时燃尽的图例及数据
#修改一个任务的状态，进行中改为已完成，hover工作项燃尽数据
#修改一个任务的登记工时+1H,hover剩余工时燃尽数据","#1、图例展示「子任务」的数量
    工作项燃尽展示迭代内所有子任务的燃尽数据
2、图例展示「子任务」的数量
   剩余工时燃尽展示迭代内所有子任务的燃尽数据
#1、图例展示「子任务」的数量
工作项燃尽展示迭代内所有子任务的燃尽数据
#1、图例展示「子任务」的数量
    工作项燃尽展示迭代内所有子任务的燃尽数据
2、图例展示「子任务」的数量
   剩余工时燃尽展示子任务的燃尽数据
#数据-1
#剩余工时-1"
迭代概览-燃尽图-燃尽图配置：工作项类型必填校验,P1,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、我的工作台-仪表盘添加迭代1的迭代概览燃尽图
4、成员B进入迭代1的燃尽图配置","#清空指定工作项「需求」，点击更新按钮
#选择「工单」「任务」工作项，点击更新按钮
#进入迭代概览查看燃尽图","#更新失败，提示请选择指定工作项类型
#更新提示成功，燃尽图图例显示「工单」「任务」的燃尽数据
#燃尽图图例显示「工单」「任务」的数量（包含工作项燃尽&剩余工时燃尽）"
迭代概览-燃尽图-燃尽图配置：「更新」按钮状态验证,P1,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入敏捷项目A-迭代1-燃尽图配置","#未修改工作项类型，检查「更新」按钮
#修改指定工作项「工单」「任务」工作项，检查更新按钮","#「更新」按钮未亮，状态为禁用，点击无反应
#「更新」按钮变亮，点击更新按钮后更新提示成功，燃尽图显示「工单」「任务」的燃尽数据"
迭代概览-燃尽图-燃尽图配置：配置过程中管理员权限失效,P3,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置
4、复制另一个页面，取消成员B的项目管理权限
5、回到3步骤页面",#添加指定工作项类型「任务」，点击「更新」按钮,"#1、「更新」配置失败,toast提示：暂无管理项目权限，请联系管理员  ;
2、界面刷新，回退到「迭代概览」界面"
迭代概览-燃尽图-燃尽图配置：配置过程中指定工作项类型部分失效,P3,"1、存在敏捷项目A，项目下有迭代1，默认配置指定工作项类型「需求」「子需求」
2、团队内成员B仅拥有A项目的项目管理权限
3、删除迭代1的所有子需求及「子需求」工作项类型
4、成员B进入迭代1的燃尽图配置，添加「子任务」工作项类型","#检查指定工作项选项栏
#点击更新按钮","#1、「子需求」选项被「选项已失效」覆盖
#1、toast提示：更新成功，已过滤失效的选项值：子需求"
迭代概览-燃尽图-燃尽图配置：新建敏捷项目类型，检查默认的工作项类型,P1,"1、新建敏捷项目A，项目下有迭代1，在迭代1中创建任务1，任务1下分别创建子任务1，子需求1，在迭代1中带你需求1，需求1分别创建子任务2，子需求2；
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入敏捷项目A-迭代1-燃尽图配置","#检查工作项类型
#检查工作项燃尽图
#检查剩余工时燃尽图","#默认为指定工作项类型「需求」
#图例显示需求的数量，
燃尽图数据为迭代1中需求的燃尽情况
#燃尽图数据为迭代1中需求的剩余工时燃尽情况"
迭代概览-燃尽图-燃尽图配置：新建非敏捷项目类型，迭代燃尽图配置中工作项类型默认测试,P1,"1、新建瀑布项目规划类型项目A，在项目下添加迭代组件-迭代1
2、新建通用任务管理类型项目B,在项目下添加迭代组件-迭代2","#成员进入项目A-迭代组件1-燃尽图配置
#成员进入项目B-迭代组件2-燃尽图配置","#默认为全部工作项类型
燃尽图图例显示所有工作项数量
#默认为全部工作项类型
燃尽图图例显示所有工作项数量"
迭代概览-燃尽图-燃尽图配置：同一项目新增第二个迭代组件，检查默认燃尽图配置的工作项类型,P2,"1、新建瀑布项目规划类型项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入迭代1的燃尽图配置","#检查燃尽图配置的工作项类型
#检查工作项燃尽图
#检查剩余工时燃尽图","#默认为全部工作项类型
#图例显示所有工作项数量
燃尽图数据为迭代1中所有工作项的燃尽情况
#燃尽图数据为迭代1中所有工作项的剩余工时燃尽情况"
迭代概览-燃尽图-燃尽图配置：选择-指定工作项类型-的工作项类型超过9行展示滚动条测试,P1,"1、存在敏捷项目A，项目下有迭代1，
2、团队内成员B仅拥有A项目的项目管理权限
3、成员B进入敏捷项目A-迭代1-燃尽图配置-选择指定工作项类型，选择工作项","#选择指定工作项10行
#选择指定工作项9行","#展示栏右侧有滚动条，可以滚动预览选项，页面最大显示行数为9行
#展示栏右侧无滚动条"
